sentence A = There is no man skiing down a snowy hill.
sentence B = A skier in black is catching a tiny bit of air.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Hominid=,Transportation+,earlier+,Covering+,Hill=
CONCEPTS B: Human+,Black=,Entity+,Grabbing+,SubjectiveStrongNegativeAttribute+,EngineeringComponent+,AirTransportation+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02472293-n|Hominid=
5	skiing	ski	VERB	VBG	Number=Sing|fPOS=NOUN++NN	4	acl	_	01938426-v|Transportation+
6	down	down	ADP	IN	fPOS=ADP++IN	5	compound:prt	_	00096089-r|earlier+
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	?|?
8	snowy	snowy	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	9	compound	_	01698231-a|Covering+
9	hill	hill	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	09303008-n|Hill=
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	skier	skier	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubj	_	10605253-n|Human+
3	in	in	ADP	IN	fPOS=ADP++IN	4	case	_	?|?
4	black	black	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	00392812-a|Black=
5	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	6	aux	_	02604760-v|Entity+
6	catching	catch	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01439190-v|Grabbing+
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	?|?
8	tiny	tiny	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	9	amod	_	01392249-a|SubjectiveStrongNegativeAttribute+
9	bit	bit	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	dobj	_	02844307-n|EngineeringComponent+
10	of	of	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
11	air	air	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	00300441-n|AirTransportation+
12	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	?|?
