sentence A = A young man with brown hair and sunglasses is sitting in front of some cans of soda.
sentence B = There is no young man with brown hair and sunglasses sitting in front of some cans of soda.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: HumanYouth=,Man=,Human+,Hair=,Device+,PhysicalAttribute+,SittingDown+,FrontFn=,Toilet+,Soda=
CONCEPTS B: PhysicalAttribute+,HumanYouth=,Man=,Human+,Hair=,Device+,SittingDown+,FrontFn=,Toilet+,Soda=

CONLL A:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	?|?
2	young	young	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	3	amod	_	01646941-a|HumanYouth=
3	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	nsubj	_	10287213-n|Man=
4	with	with	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
5	brown	brown	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	6	compound	_	00245112-a|Human+
6	hair	hair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nmod	_	05254795-n|Hair=
7	and	and	CONJ	CC	fPOS=CONJ++CC	6	cc	_	?|?
8	sunglasses	sunglass	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	conj	_	04355933-n|Device+
9	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	10	aux	_	02655135-v|PhysicalAttribute+
10	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01543123-v|SittingDown+
11	in	in	ADP	IN	fPOS=ADV++RB	12	case	_	?|?
12	front	front	NOUN	NN	fPOS=ADP++IN	10	nmod	_	08573472-n|FrontFn=
13	of	of	ADP	IN	fPOS=ADP++IN	15	case	_	?|?
14	some	some	DET	DT	fPOS=DET++DT	15	det	_	?|?
15	cans	can	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	12	nmod	_	04446521-n|Toilet+
16	of	of	ADP	IN	fPOS=ADP++IN	17	case	_	?|?
17	soda	soda	NOUN	NN	Number=Sing|fPOS=NOUN++NN	15	nmod	_	07927512-n|Soda=
18	.	.	PUNCT	.	fPOS=PUNCT++.	10	punct	_	?|?


CONLL B:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02655135-v|PhysicalAttribute+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	?|?
4	young	young	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	01646941-a|HumanYouth=
5	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	10287213-n|Man=
6	with	with	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
7	brown	brown	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	8	compound	_	00245112-a|Human+
8	hair	hair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	05254795-n|Hair=
9	and	and	CONJ	CC	fPOS=CONJ++CC	8	cc	_	?|?
10	sunglasses	sunglass	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	8	conj	_	04355933-n|Device+
11	sitting	sit	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	5	acl	_	01543123-v|SittingDown+
12	in	in	ADP	IN	fPOS=ADP++IN	13	case	_	?|?
13	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nmod	_	08573472-n|FrontFn=
14	of	of	ADP	IN	fPOS=ADP++IN	16	case	_	?|?
15	some	some	DET	DT	fPOS=DET++DT	16	det	_	?|?
16	cans	can	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	13	nmod	_	04446521-n|Toilet+
17	of	of	ADP	IN	fPOS=ADP++IN	18	case	_	?|?
18	soda	soda	NOUN	NN	Number=Sing|fPOS=NOUN++NN	16	nmod	_	07927512-n|Soda=
19	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?
