sentence A = There is no man playing a violin.
sentence B = The baby is laughing and crawling.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Hominid=,DramaticActing+,Violin=
CONCEPTS B: HumanBaby=,Entity+,Laughing=,StateOfMind+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02472293-n|Hominid=
5	playing	play	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	01719302-v|DramaticActing+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	violin	violin	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	04536866-n|Violin=
8	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	baby	baby	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	09827683-n|HumanBaby=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	4	aux	_	02604760-v|Entity+
4	laughing	laugh	VERB	VBG	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	00031820-v|Laughing=
5	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
6	crawling	crawl	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	conj	_	02730682-v|StateOfMind+
7	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
