sentence A = There is no bmx biker jumping dirt ramps in front of a body of water.
sentence B = Two bmx bikers are jumping dirt ramps in front of a body of water.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,Entity+,?,?,?,Ambulating=,Text+,StationaryArtifact+,?,FrontFn=,?,?,Animal=,?,Water=,?
CONCEPTS B: ?,?,?,Entity+,Ambulating=,Text+,StationaryArtifact+,?,FrontFn=,?,?,Animal=,?,Water=,?

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	?|?
4	bmx	bmx	NOUN	NN	fPOS=PART++TO	5	compound	_	?|?
5	biker	biker	NOUN	NN	VerbForm=Inf|fPOS=VERB++VB	2	nsubj	_	?|?
6	jumping	jump	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	acl	_	01963942-v|Ambulating=
7	dirt	dirt	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	8	compound	_	07223811-n|Text+
8	ramps	ramp	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	dobj	_	04051549-n|StationaryArtifact+
9	in	in	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
10	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	08573472-n|FrontFn=
11	of	of	ADP	IN	fPOS=ADP++IN	13	case	_	?|?
12	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	13	det	_	?|?
13	body	body	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	nmod	_	05216365-n|Animal=
14	of	of	ADP	IN	fPOS=ADP++IN	15	case	_	?|?
15	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	nmod	_	14845743-n|Water=
16	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?
CONLL B:

1	Two	2	VERB	VBN	NumType=Card|fPOS=NUM++CD	3	nummod	_	?|?
2	bmx	bmx	ADP	IN	Number=Sing|fPOS=NOUN++NN	3	compound	_	?|?
3	bikers	biker	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	?|?
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	02604760-v|Entity+
5	jumping	jump	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01963942-v|Ambulating=
6	dirt	dirt	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	compound	_	07223811-n|Text+
7	ramps	ramp	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	dobj	_	04051549-n|StationaryArtifact+
8	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
9	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	08573472-n|FrontFn=
10	of	of	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	body	body	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	05216365-n|Animal=
13	of	of	ADP	IN	fPOS=ADP++IN	14	case	_	?|?
14	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	12	nmod	_	14845743-n|Water=
15	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
