sentence A = There is no cyclist on a yellow bike airborne.
sentence B = A person on a yellow dirt bike is taking a jump.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Human+,SubjectiveAssessmentAttribute+,Bicycle=,AirTransportation+
CONCEPTS B: Human=,SubjectiveAssessmentAttribute+,Text+,Bicycle=,Entity+,PhysicalAttribute+,Transportation+

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	4	det	_	DT|?|?
4	cyclist	cyclist	NOUN	NN	_	2	nsubj	_	NN|09986189-n|Human+
5	on	on	ADP	IN	_	4	prep	_	IN|?|?
6	a	a	DET	DT	_	9	det	_	DT|?|?
7	yellow	yellow	ADJ	JJ	_	8	amod	_	JJ|02101942-a|SubjectiveAssessmentAttribute+
8	bike	bike	NOUN	NN	_	9	nn	_	NN|02834778-n|Bicycle=
9	airborne	airborne	ADJ	JJ	_	5	pobj	_	JJ|01522895-a|AirTransportation+
10	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	person	person	NOUN	NN	_	9	nsubj	_	NN|00007846-n|Human=
3	on	on	ADP	IN	_	2	prep	_	IN|?|?
4	a	a	DET	DT	_	7	det	_	DT|?|?
5	yellow	yellow	ADJ	JJ	_	7	amod	_	JJ|02101942-a|SubjectiveAssessmentAttribute+
6	dirt	dirt	NOUN	NN	_	7	nn	_	NN|07223811-n|Text+
7	bike	bike	NOUN	NN	_	3	pobj	_	NN|02834778-n|Bicycle=
8	is	be	VERB	VBZ	_	9	aux	_	VBZ|02604760-v|Entity+
9	taking	take	VERB	VBG	_	0	ROOT	_	VBG|02267989-v|PhysicalAttribute+
10	a	a	DET	DT	_	11	det	_	DT|?|?
11	jump	jump	NOUN	NN	_	9	dobj	_	NN|00303849-n|Transportation+
12	.	.	.	.	_	9	punct	_	Fp|?|?
