sentence A = There is no woman putting a child in a waste bin.
sentence B = A woman is putting a baby in a waste bin.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Woman=,Putting=,HumanChild=,SubjectiveAssessmentAttribute+,Container+
CONCEPTS B: Woman=,Entity+,Putting=,HumanBaby=,SubjectiveAssessmentAttribute+,Container+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|10787470-n|Woman=
5	putting	put	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|01494310-v|Putting=
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	child	child	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|09917593-n|HumanChild=
8	in	in	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
10	waste	waste	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	compound	_	NN|00742645-n|SubjectiveAssessmentAttribute+
11	bin	bin	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|02839910-n|Container+
12	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|10787470-n|Woman=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	putting	put	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01494310-v|Putting=
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	baby	baby	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|09827683-n|HumanBaby=
7	in	in	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
9	waste	waste	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	compound	_	NN|00742645-n|SubjectiveAssessmentAttribute+
10	bin	bin	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|02839910-n|Container+
11	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
