sentence A = There is no monkey pulling a dog's tail.
sentence B = A monkey is pulling a dog's tail.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,Entity+,?,Human+,Transportation+,?,Canine+,?,BodyPart+,?
CONCEPTS B: ?,Human+,Entity+,Transportation+,?,Canine+,?,BodyPart+,?

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	monkey	monkey	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	10200047-n|Human+
5	pulling	pull	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	02057499-v|Transportation+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod:poss	_	02084071-n|Canine+
8	's	's	PART	POS	fPOS=PART++POS	7	case	_	?|?
9	tail	tail	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	02157557-n|BodyPart+
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	monkey	monkey	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10200047-n|Human+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	pulling	pull	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02057499-v|Transportation+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod:poss	_	02084071-n|Canine+
7	's	's	PART	POS	fPOS=PART++POS	6	case	_	?|?
8	tail	tail	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	02157557-n|BodyPart+
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
