sentence A = There is no small dog chasing a large brown cow.
sentence B = A dog is chasing the tail of an animal in the grass.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,Entity+,?,SubjectiveStrongNegativeAttribute+,Canine+,Pursuing+,?,SubjectiveWeakPositiveAttribute+,Human+,FemaleCow=,?
CONCEPTS B: ?,Canine+,Entity+,Pursuing+,?,BodyPart+,?,?,Animal=,?,?,Grass=,?

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	?|?
4	small	small	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	01391351-a|SubjectiveStrongNegativeAttribute+
5	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02084071-n|Canine+
6	chasing	chase	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	acl	_	02001858-v|Pursuing+
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	?|?
8	large	large	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	01382086-a|SubjectiveWeakPositiveAttribute+
9	brown	brown	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	compound	_	00245112-a|Human+
10	cow	cow	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	dobj	_	02403454-n|FemaleCow=
11	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	02084071-n|Canine+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	chasing	chase	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02001858-v|Pursuing+
5	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	tail	tail	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	02157557-n|BodyPart+
7	of	of	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	?|?
9	animal	animal	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	00015388-n|Animal=
10	in	in	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	grass	grass	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	12102133-n|Grass=
13	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
