sentence A = Masked people are looking in the same direction in a forest.
sentence B = A little girl is looking at a woman in costume.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Pretending+,GroupOfPeople=,Entity+,SubjectiveAssessmentAttribute+,?,?,equal+,DirectionalAttribute=,?,?,Forest=,?
CONCEPTS B: ?,SubjectiveStrongNegativeAttribute+,Human+,Entity+,SubjectiveAssessmentAttribute+,?,?,Woman=,?,Clothing+,?

CONLL A:

1	Masked	mask	ADJ	JJ	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	2	amod	_	02158587-v|Pretending+
2	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	07942152-n|GroupOfPeople=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02133435-v|SubjectiveAssessmentAttribute+
5	in	in	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	?|?
7	same	same	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	8	amod	_	02062670-a|equal+
8	direction	direction	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	13827426-n|DirectionalAttribute=
9	in	in	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
10	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
11	forest	forest	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	09284015-n|Forest=
12	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	?|?
2	little	little	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	01391351-a|SubjectiveStrongNegativeAttribute+
3	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	10129825-n|Human+
4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	02604760-v|Entity+
5	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02133435-v|SubjectiveAssessmentAttribute+
6	at	at	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	?|?
8	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	10787470-n|Woman=
9	in	in	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
10	costume	costume	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	03113657-n|Clothing+
11	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
