sentence A = One young child is running outside over some fallen leaves.
sentence B = A young child is running down a gravel road that is covered with dead leaves.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: HumanYouth=,HumanChild=,Entity+,Attribute+,Getting+,Leaf=
CONCEPTS B: HumanYouth=,HumanChild=,Entity+,Attribute+,earlier+,Mineral+,Roadway+,Entity+,Covering+,Dead=,Leaf=

CONLL A:

1	One	1	NUM	CD	NumType=Card|fPOS=NUM++CD	3	nummod	_	Z|?|?
2	young	young	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	3	amod	_	JJ|01646941-a|HumanYouth=
3	child	child	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|09917593-n|HumanChild=
4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
5	running	run	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01525666-v|Attribute+
6	outside	outside	ADV	RB	fPOS=ADP++IN	10	advmod	_	IN|?|?
7	over	over	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
8	some	some	DET	DT	fPOS=DET++DT	10	det	_	DT|?|?
9	fallen	fall	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	10	amod	_	VBN|02229828-v|Getting+
10	leaves	leaf	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nmod	_	NNS|13152742-n|Leaf=
11	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	DT|?|?
2	young	young	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	3	amod	_	JJ|01646941-a|HumanYouth=
3	child	child	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|09917593-n|HumanChild=
4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
5	running	run	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01525666-v|Attribute+
6	down	down	ADP	IN	fPOS=ADP++IN	9	case	_	RP|00096089-r|earlier+
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
8	gravel	gravel	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	9	amod	_	NN|14698884-n|Mineral+
9	road	road	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|04096066-n|Roadway+
10	that	that	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	12	nsubjpass	_	WDT|?|?
11	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	12	auxpass	_	VBZ|02604760-v|Entity+
12	covered	cover	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	9	acl:relcl	_	VBN|01332730-v|Covering+
13	with	with	ADP	IN	fPOS=ADP++IN	15	case	_	IN|?|?
14	dead	dead	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	15	amod	_	JJ|00095280-a|Dead=
15	leaves	leaf	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	12	nmod	_	NNS|13152742-n|Leaf=
16	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
