sentence A = There is no little boy running on the ground and playing with a little girl.
sentence B = A little boy is running on the ground and playing with a little girl.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,SubjectiveStrongNegativeAttribute+,Human+,IntentionalProcess+,LandArea=,IntentionalProcess+,SubjectiveStrongNegativeAttribute+,Human+
CONCEPTS B: SubjectiveStrongNegativeAttribute+,Human+,Entity+,IntentionalProcess+,LandArea=,IntentionalProcess+,SubjectiveStrongNegativeAttribute+,Human+

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	5	det	_	DT|?|?
4	little	little	ADJ	JJ	_	5	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
5	boy	boy	NOUN	NN	_	2	nsubj	_	NN|10285313-n|Human+
6	running	run	VERB	VBG	_	5	dep	_	VBG|01717169-v|IntentionalProcess+
7	on	on	ADP	IN	_	6	prep	_	IN|?|?
8	the	the	DET	DT	_	9	det	_	DT|?|?
9	ground	ground	NOUN	NN	_	7	pobj	_	NN|09334396-n|LandArea=
10	and	and	CONJ	CC	_	6	cc	_	CC|?|?
11	playing	play	VERB	VBG	_	6	conj	_	VBG|01717169-v|IntentionalProcess+
12	with	with	ADP	IN	_	11	prep	_	IN|?|?
13	a	a	DET	DT	_	15	det	_	DT|?|?
14	little	little	ADJ	JJ	_	15	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
15	girl	girl	NOUN	NN	_	12	pobj	_	NN|10129825-n|Human+
16	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	3	det	_	DT|?|?
2	little	little	ADJ	JJ	_	3	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
3	boy	boy	NOUN	NN	_	5	nsubj	_	NN|10285313-n|Human+
4	is	be	VERB	VBZ	_	5	aux	_	VBZ|02604760-v|Entity+
5	running	run	VERB	VBG	_	0	ROOT	_	VBG|01717169-v|IntentionalProcess+
6	on	on	ADP	IN	_	5	prep	_	IN|?|?
7	the	the	DET	DT	_	8	det	_	DT|?|?
8	ground	ground	NOUN	NN	_	6	pobj	_	NN|09334396-n|LandArea=
9	and	and	CONJ	CC	_	5	cc	_	CC|?|?
10	playing	play	VERB	VBG	_	5	conj	_	VBG|01717169-v|IntentionalProcess+
11	with	with	ADP	IN	_	10	prep	_	IN|?|?
12	a	a	DET	DT	_	14	det	_	DT|?|?
13	little	little	ADJ	JJ	_	14	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
14	girl	girl	NOUN	NN	_	11	pobj	_	NN|10129825-n|Human+
15	.	.	.	.	_	5	punct	_	Fp|?|?
