sentence A = There is no young child running outside over the fallen leaves.
sentence B = A young child is running outside over the fallen leaves.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,HumanYouth=,HumanChild=,Attribute+,Getting+,Leaf=
CONCEPTS B: HumanYouth=,HumanChild=,Entity+,Attribute+,Getting+,Leaf=

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	5	det	_	DT|?|?
4	young	young	ADJ	JJ	_	5	amod	_	JJ|01646941-a|HumanYouth=
5	child	child	NOUN	NN	_	2	nsubj	_	NN|09917593-n|HumanChild=
6	running	run	VERB	VBG	_	5	partmod	_	VBG|01525666-v|Attribute+
7	outside	outside	ADV	RB	_	6	advmod	_	IN|?|?
8	over	over	ADP	IN	_	6	prep	_	IN|?|?
9	the	the	DET	DT	_	11	det	_	DT|?|?
10	fallen	fall	VERB	VBN	_	11	amod	_	VBN|02229828-v|Getting+
11	leaves	leaf	NOUN	NNS	_	8	pobj	_	NNS|13152742-n|Leaf=
12	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	3	det	_	DT|?|?
2	young	young	ADJ	JJ	_	3	amod	_	JJ|01646941-a|HumanYouth=
3	child	child	NOUN	NN	_	5	nsubj	_	NN|09917593-n|HumanChild=
4	is	be	VERB	VBZ	_	5	aux	_	VBZ|02604760-v|Entity+
5	running	run	VERB	VBG	_	0	ROOT	_	VBG|01525666-v|Attribute+
6	outside	outside	ADV	RB	_	5	advmod	_	IN|?|?
7	over	over	ADP	IN	_	5	prep	_	IN|?|?
8	the	the	DET	DT	_	10	det	_	DT|?|?
9	fallen	fall	VERB	VBN	_	10	amod	_	VBN|02229828-v|Getting+
10	leaves	leaf	NOUN	NNS	_	7	pobj	_	NNS|13152742-n|Leaf=
11	.	.	.	.	_	5	punct	_	Fp|?|?
