sentence A = There is no surfer riding the wave.
sentence B = A surfer is riding the wave.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Human+,Carrying=,WaterWave+
CONCEPTS B: Human+,Entity+,Carrying=,WaterWave+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	surfer	surfer	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|10679054-n|Human+
5	riding	ride	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|01955984-v|Carrying=
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	wave	wave	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|07352190-n|WaterWave+
8	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	surfer	surfer	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|10679054-n|Human+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	riding	ride	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01955984-v|Carrying=
5	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	wave	wave	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|07352190-n|WaterWave+
7	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
