sentence A = There is no man cutting tomatoes.
sentence B = A man is cutting tomatoes.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Hominid=,Decreasing+,Tomato=
CONCEPTS B: Hominid=,Entity+,Decreasing+,Tomato=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	6	neg	_	DT|?|?
4	man	man	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	amod	_	NN|02472293-n|Hominid=
5	cutting	cut	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	compound	_	VBG|00429060-v|Decreasing+
6	tomatoes	tomato	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nsubj	_	NNS|07734017-n|Tomato=
7	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	cutting	cut	VERB	VBG	Degree=Pos|fPOS=ADJ++JJ	0	ROOT	_	VBG|00429060-v|Decreasing+
5	tomatoes	tomato	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	dobj	_	NNS|07734017-n|Tomato=
6	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
