sentence A = Boys are dancing in front of some people.
sentence B = Two men with a dog are boring a crowd of people.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Human+,Entity+,Dancing+,FrontFn=,GroupOfPeople=
CONCEPTS B: Man=,Canine+,Entity+,Drilling=,SubjectiveAssessmentAttribute=,GroupOfPeople=

CONLL A:

1	Boys	boy	NOUN	NNS	fPOS=ADV++RB	3	nsubj	_	10285313-n|Human+
2	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	3	aux	_	02604760-v|Entity+
3	dancing	dance	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01708676-v|Dancing+
4	in	in	ADP	IN	fPOS=ADP++IN	5	case	_	?|?
5	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nmod	_	08573472-n|FrontFn=
6	of	of	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
7	some	some	DET	DT	fPOS=DET++DT	8	det	_	?|?
8	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nmod	_	07942152-n|GroupOfPeople=
9	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	?|?


CONLL B:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	?|?
2	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	7	nsubj	_	10287213-n|Man=
3	with	with	ADP	IN	fPOS=ADP++IN	5	case	_	?|?
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	5	det	_	?|?
5	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	02084071-n|Canine+
6	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	7	aux	_	02604760-v|Entity+
7	boring	bore	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	01443021-v|Drilling=
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	?|?
9	crowd	crowd	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	dobj	_	08182379-n|SubjectiveAssessmentAttribute=
10	of	of	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
11	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	9	nmod	_	07942152-n|GroupOfPeople=
12	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	?|?
