sentence A = There is no man playing a guitar on stage.
sentence B = A person has blonde and flyaway hair and is playing a guitar.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Hominid=,DramaticActing+,Guitar=,Attribute+
CONCEPTS B: Human=,Damaging+,Human+,SubjectiveStrongNegativeAttribute+,Hair=,Entity+,DramaticActing+,Guitar=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|02472293-n|Hominid=
5	playing	play	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|01719302-v|DramaticActing+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	guitar	guitar	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|03467517-n|Guitar=
8	on	on	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
9	stage	stage	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|13939892-n|Attribute+
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nsubj	_	NN|00007846-n|Human=
3	has	have	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	0	ROOT	_	VBZ|00065639-v|Damaging+
4	blonde	blonde	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	JJ|00243606-a|Human+
5	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	CC|?|?
6	flyaway	flyaway	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	4	conj	_	JJ|02121123-a|SubjectiveStrongNegativeAttribute+
7	hair	hair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	dobj	_	NN|05254795-n|Hair=
8	and	and	CONJ	CC	fPOS=CONJ++CC	3	cc	_	CC|?|?
9	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	10	aux	_	VBZ|02604760-v|Entity+
10	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	3	conj	_	VBG|01719302-v|DramaticActing+
11	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	guitar	guitar	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	dobj	_	NN|03467517-n|Guitar=
13	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	Fp|?|?
