sentence A = There are no dogs fighting for a frisbee in a lake.
sentence B = Two dogs are fighting for a frisbee in a lake.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Canine+,ViolentContest+,Artifact+,Lake=
CONCEPTS B: Canine+,Entity+,ViolentContest+,Artifact+,Lake=

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	are	be	VERB	VBP	_	0	ROOT	_	VBP|02604760-v|Entity+
3	no	no	DET	DT	_	4	det	_	DT|?|?
4	dogs	dog	NOUN	NNS	_	2	nsubj	_	NNS|02084071-n|Canine+
5	fighting	fight	VERB	VBG	_	4	partmod	_	VBG|01090335-v|ViolentContest+
6	for	for	ADP	IN	_	5	prep	_	IN|?|?
7	a	a	DET	DT	_	8	det	_	DT|?|?
8	frisbee	frisbee	NOUN	NN	_	6	pobj	_	NN|03397947-n|Artifact+
9	in	in	ADP	IN	_	8	prep	_	IN|?|?
10	a	a	DET	DT	_	11	det	_	DT|?|?
11	lake	lake	NOUN	NN	_	9	pobj	_	NN|09328904-n|Lake=
12	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	Two	2	NUM	CD	_	2	num	_	Z|?|?
2	dogs	dog	NOUN	NNS	_	4	nsubj	_	NNS|02084071-n|Canine+
3	are	be	VERB	VBP	_	4	aux	_	VBP|02604760-v|Entity+
4	fighting	fight	VERB	VBG	_	0	ROOT	_	VBG|01090335-v|ViolentContest+
5	for	for	ADP	IN	_	4	prep	_	IN|?|?
6	a	a	DET	DT	_	7	det	_	DT|?|?
7	frisbee	frisbee	NOUN	NN	_	5	pobj	_	NN|03397947-n|Artifact+
8	in	in	ADP	IN	_	4	prep	_	IN|?|?
9	a	a	DET	DT	_	10	det	_	DT|?|?
10	lake	lake	NOUN	NN	_	8	pobj	_	NN|09328904-n|Lake=
11	.	.	.	.	_	4	punct	_	Fp|?|?
