sentence A = Someone is folding a piece of paper.
sentence B = A person is not folding a piece of paper.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,Entity+,Folding+,?,TimeDuration+,?,Newspaper=,?
CONCEPTS B: ?,Human=,Entity+,not=,Folding+,?,TimeDuration+,?,Newspaper=,?

CONLL A:

1	Someone	someone	PROPN	NNP	Number=Sing|fPOS=NOUN++NN	3	nsubj	_	?|?
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	3	aux	_	02604760-v|Entity+
3	folding	fold	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01277974-v|Folding+
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	5	det	_	?|?
5	piece	piece	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	dobj	_	15246353-n|TimeDuration+
6	of	of	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
7	paper	paper	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	06267145-n|Newspaper=
8	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	00007846-n|Human=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	02604760-v|Entity+
4	not	not	PART	RB	fPOS=PART++RB	5	neg	_	00024073-r|not=
5	folding	fold	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01277974-v|Folding+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	piece	piece	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	15246353-n|TimeDuration+
8	of	of	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
9	paper	paper	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	06267145-n|Newspaper=
10	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
