sentence A = Three men are not staring at the big green hills in the distance.
sentence B = Three men are looking into the distance.
entailm AB = A_neutral_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Hominid=,Entity+,not=,Looking=,SubjectiveWeakPositiveAttribute+,Green=,Hill=,LengthMeasure+
CONCEPTS B: Hominid=,Entity+,SubjectiveAssessmentAttribute+,LengthMeasure+

CONLL A:

1	Three	3	NUM	CD	Definite=Def|PronType=Art|fPOS=DET++DT	2	nummod	_	Z|?|?
2	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	NNS|02472293-n|Hominid=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	VBP|02604760-v|Entity+
4	not	not	PART	RB	fPOS=PART++RB	5	neg	_	RB|00024073-r|not=
5	staring	stare	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02132745-v|Looking=
6	at	at	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
7	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
8	big	big	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	JJ|01382086-a|SubjectiveWeakPositiveAttribute+
9	green	green	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	JJ|00375969-a|Green=
10	hills	hill	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nmod	_	NNS|09303008-n|Hill=
11	in	in	ADP	IN	fPOS=ADP++IN	13	case	_	IN|?|?
12	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	13	det	_	DT|?|?
13	distance	distance	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	nmod	_	NN|05084201-n|LengthMeasure+
14	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?


CONLL B:

1	Three	3	DET	DT	Number=Plur|PronType=Dem|fPOS=DET++DT	2	det	_	Z|?|?
2	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|02472293-n|Hominid=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02604760-v|Entity+
4	looking	look	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02133435-v|SubjectiveAssessmentAttribute+
5	into	into	ADP	IN	fPOS=ADP++IN	7	case	_	IN|?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	distance	distance	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|05084201-n|LengthMeasure+
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
