sentence A = There is no young boy covered in grass jumping near a wooden fence.
sentence B = A young boy covered in grass is jumping near a wooden fence.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,HumanYouth=,Human+,Covering+,Grass=,Ambulating=,SubjectiveAssessmentAttribute+,Device+
CONCEPTS B: HumanYouth=,Human+,Covering+,Grass=,Entity+,Ambulating=,SubjectiveAssessmentAttribute+,Device+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	?|?
4	young	young	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	amod	_	01646941-a|HumanYouth=
5	boy	boy	AUX	VBP	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	10285313-n|Human+
6	covered	cover	VERB	VBN	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	5	acl	_	01332730-v|Covering+
7	in	in	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
8	grass	grass	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	12102133-n|Grass=
9	jumping	jump	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	8	acl	_	01963942-v|Ambulating=
10	near	near	NOUN	NN	fPOS=ADP++IN	13	case	_	?|?
11	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	13	det	_	?|?
12	wooden	wooden	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	13	amod	_	01141595-a|SubjectiveAssessmentAttribute+
13	fence	fence	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	03327234-n|Device+
14	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	?|?
2	young	young	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	3	amod	_	01646941-a|HumanYouth=
3	boy	boy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nsubj	_	10285313-n|Human+
4	covered	cover	VERB	VBN	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	3	acl	_	01332730-v|Covering+
5	in	in	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
6	grass	grass	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	12102133-n|Grass=
7	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	8	aux	_	02604760-v|Entity+
8	jumping	jump	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01963942-v|Ambulating=
9	near	near	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
10	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	?|?
11	wooden	wooden	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	12	amod	_	01141595-a|SubjectiveAssessmentAttribute+
12	fence	fence	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	03327234-n|Device+
13	.	.	PUNCT	.	fPOS=PUNCT++.	8	punct	_	?|?
