sentence A = There is no black, red, white and pink dress being worn by a woman.
sentence B = A woman is taking off a cloak, which is very large, and revealing an extravagant dress.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Black=,Red=,White=,Pink+,Clothing+,Entity+,Putting+,Woman=
CONCEPTS B: Woman=,Entity+,PhysicalAttribute+,Clothing+,Entity+,SubjectiveAssessmentAttribute+,SubjectiveWeakPositiveAttribute+,Disseminating=,SubjectiveStrongNegativeAttribute+,Clothing+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	black	black	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	2	nsubj	_	00392812-a|Black=
5	,	,	PUNCT	,	fPOS=PUNCT++,	4	punct	_	?|?
6	red	red	ADJ	JJ	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	4	conj	_	00381097-a|Red=
7	,	,	PUNCT	,	fPOS=PUNCT++,	4	punct	_	?|?
8	white	white	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	4	conj	_	00393105-a|White=
9	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
10	pink	pink	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	compound	_	00379595-a|Pink+
11	dress	dress	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	conj	_	02728440-n|Clothing+
12	being	be	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	13	auxpass	_	02604760-v|Entity+
13	worn	wear	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	4	advcl	_	00052374-v|Putting+
14	by	by	ADP	IN	fPOS=ADP++IN	16	case	_	?|?
15	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	16	det	_	?|?
16	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	13	nmod	_	10787470-n|Woman=
17	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10787470-n|Woman=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	taking	take	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02267989-v|PhysicalAttribute+
5	off	off	ADP	IN	fPOS=ADP++RP	4	compound:prt	_	00232936-r|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	cloak	cloak	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	03045337-n|Clothing+
8	,	,	PUNCT	,	fPOS=PUNCT++,	7	punct	_	?|?
9	which	which	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	12	nsubj	_	?|?
10	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	12	cop	_	02604760-v|Entity+
11	very	very	ADV	RB	fPOS=ADV++RB	12	advmod	_	00031899-r|SubjectiveAssessmentAttribute+
12	large	large	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	acl:relcl	_	01382086-a|SubjectiveWeakPositiveAttribute+
13	,	,	PUNCT	,	fPOS=PUNCT++,	12	punct	_	?|?
14	and	and	CONJ	CC	fPOS=CONJ++CC	12	cc	_	?|?
15	revealing	reveal	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	12	conj	_	00933821-v|Disseminating=
16	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	18	det	_	?|?
17	extravagant	extravagant	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	18	amod	_	02422242-a|SubjectiveStrongNegativeAttribute+
18	dress	dress	NOUN	NN	Number=Sing|fPOS=NOUN++NN	15	dobj	_	02728440-n|Clothing+
19	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
