sentence A = Two pandas are not lying together.
sentence B = Two pandas are lying together.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,Carnivore+,Entity+,not=,PhysicalAttribute+,Meeting=,?
CONCEPTS B: ?,Carnivore+,Entity+,PhysicalAttribute+,Meeting=,?

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	?|?
2	pandas	panda	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	02510455-n|Carnivore+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	02604760-v|Entity+
4	not	not	PART	RB	fPOS=PART++RB	5	neg	_	00024073-r|not=
5	lying	lie	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	02690708-v|PhysicalAttribute+
6	together	together	ADV	RB	fPOS=ADV++RB	5	advmod	_	00507927-r|Meeting=
7	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
CONLL B:

1	Two	2	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	compound	_	?|?
2	pandas	panda	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	02510455-n|Carnivore+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	lying	lie	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02690708-v|PhysicalAttribute+
5	together	together	ADV	RB	fPOS=ADV++RB	4	advmod	_	00507927-r|Meeting=
6	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
