sentence A = There is no badger shrewdly digging the earth.
sentence B = A badger is shrewdly digging the earth.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Carnivore+,SubjectiveAssessmentAttribute+,Making+,PlanetEarth=
CONCEPTS B: Carnivore+,Entity+,SubjectiveAssessmentAttribute+,Making+,PlanetEarth=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	badger	badger	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|02447366-n|Carnivore+
5	shrewdly	shrewdly	ADV	RB	Number=Sing|fPOS=NOUN++NN	6	advmod	_	RB|00272587-r|SubjectiveAssessmentAttribute+
6	digging	dig	VERB	VB	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|01309701-v|Making+
7	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	earth	earth	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	dobj	_	NN|09270894-n|PlanetEarth=
9	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	badger	badger	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|02447366-n|Carnivore+
3	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
4	shrewdly	shrewdly	ADV	RB	fPOS=ADV++RB	5	advmod	_	RB|00272587-r|SubjectiveAssessmentAttribute+
5	digging	dig	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01309701-v|Making+
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	earth	earth	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|09270894-n|PlanetEarth=
8	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
