sentence A = There is no man standing next to a bus.
sentence B = A man is standing next to a bus.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Hominid=,SocialRole+,Position+,Conductor+
CONCEPTS B: Hominid=,Entity+,PhysicalAttribute+,Position+,Conductor+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	man	man	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	2	nsubj	_	02472293-n|Hominid=
5	standing	standing	VERB	VBG	Number=Sing|fPOS=NOUN++NN	4	acl	_	13948136-n|SocialRole+
6	next	next	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	01294975-a|Position+
7	to	to	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	?|?
9	bus	bus	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	02924713-n|Conductor+
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	standing	stand	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01546111-v|PhysicalAttribute+
5	next	next	ADV	RB	Degree=Pos|fPOS=ADJ++JJ	4	advmod	_	01294975-a|Position+
6	to	to	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	?|?
8	bus	bus	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	02924713-n|Conductor+
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
