sentence A = There is no lion pacing tiredly in a pen.
sentence B = A lion is pacing tiredly in a pen.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Region@,Ambulating+,StateOfMind+,StationaryArtifact+
CONCEPTS B: Region@,Entity+,Ambulating+,StateOfMind+,StationaryArtifact+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	lion	lion	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|08686821-n|Region@
5	pacing	pace	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|02091165-v|Ambulating+
6	tiredly	tiredly	ADV	RB	fPOS=ADV++RB	5	advmod	_	RB|00090424-r|StateOfMind+
7	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	pen	pen	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|03907227-n|StationaryArtifact+
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	lion	lion	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|08686821-n|Region@
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	pacing	pace	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02091165-v|Ambulating+
5	tiredly	tiredly	ADV	RB	fPOS=ADV++RB	4	advmod	_	RB|00090424-r|StateOfMind+
6	in	in	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	pen	pen	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|03907227-n|StationaryArtifact+
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
