sentence A = There is no cat walking on a hardwood floor.
sentence B = A baby is crawling happily.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Whip+,Walking=,Tissue+,Floor+
CONCEPTS B: HumanBaby=,Entity+,StateOfMind+,Happiness+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	cat	cat	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02985606-n|Whip+
5	walking	walk	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	01904930-v|Walking=
6	on	on	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	?|?
8	hardwood	hardwood	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	compound	_	15100112-n|Tissue+
9	floor	floor	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	03365592-n|Floor+
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	baby	baby	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	09827683-n|HumanBaby=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	crawling	crawl	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	02730682-v|StateOfMind+
5	happily	happily	ADV	RB	fPOS=ADV++RB	4	advmod	_	00050297-r|Happiness+
6	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
