sentence A = Bread is being sliced by the man.
sentence B = The woman is slicing herbs.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: BreadOrBiscuit+,Entity+,Entity+,Separating+,?,?,Hominid=,?
CONCEPTS B: ?,Woman=,Entity+,Separating+,FloweringPlant+,?

CONLL A:

1	Bread	bread	PROPN	NNP	Number=Sing|fPOS=NOUN++NN	4	nsubjpass	_	07679356-n|BreadOrBiscuit+
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
3	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	4	auxpass	_	02604760-v|Entity+
4	sliced	slice	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	01254477-v|Separating+
5	by	by	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	02472293-n|Hominid=
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10787470-n|Woman=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	slicing	slice	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01254477-v|Separating+
5	herbs	herb	NOUN	NNS	fPOS=INTJ++UH	4	dobj	_	12205694-n|FloweringPlant+
6	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
