sentence A = There is no soccer player who is being tackled by an opponent.
sentence B = A soccer player is being tackled by his opponent.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Soccer=,Human+,Entity+,Entity+,Putting+,SocialRole+
CONCEPTS B: Soccer=,Human+,Entity+,Entity+,Putting+,SocialRole+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	DT|?|?
4	soccer	soccer	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	NN|00478262-n|Soccer=
5	player	player	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|10439851-n|Human+
6	who	who	PRON	WP	PronType=Rel|fPOS=PRON++WP	9	nsubjpass	_	WP|?|?
7	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	9	aux	_	VBZ|02604760-v|Entity+
8	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	9	auxpass	_	VBG|02604760-v|Entity+
9	tackled	tackle	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	5	acl:relcl	_	VBN|01491697-v|Putting+
10	by	by	ADP	IN	fPOS=ADP++IN	12	case	_	IN|?|?
11	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	opponent	opponent	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|10379620-n|SocialRole+
13	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	DT|?|?
2	soccer	soccer	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	NN|00478262-n|Soccer=
3	player	player	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubjpass	_	NN|10439851-n|Human+
4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	6	aux	_	VBZ|02604760-v|Entity+
5	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	6	auxpass	_	VBG|02604760-v|Entity+
6	tackled	tackle	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	VBN|01491697-v|Putting+
7	by	by	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	his	his	PRON	PRP$	Gender=Masc|Number=Sing|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	9	nmod:poss	_	PRP$|?|?
9	opponent	opponent	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|10379620-n|SocialRole+
10	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	Fp|?|?
