sentence A = There is a guy cheerfully playing with a footbag.
sentence B = A guy is cheerfully playing with a footbag.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: Entity+,Device+,EmotionalState+,DramaticActing+
CONCEPTS B: Device+,Entity+,EmotionalState+,DramaticActing+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	5	det	_	DT|?|?
4	guy	guy	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	NN|03471779-n|Device+
5	cheerfully	cheerfully	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	2	nsubj	_	RB|00230749-r|EmotionalState+
6	playing	play	VERB	VBG	Number=Sing|fPOS=NOUN++NN	5	acl	_	VBG|01719302-v|DramaticActing+
7	with	with	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	footbag	footbag	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|?|?
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	guy	guy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|03471779-n|Device+
3	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
4	cheerfully	cheerfully	ADJ	JJ	fPOS=ADV++RB	5	advmod	_	RB|00230749-r|EmotionalState+
5	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
6	with	with	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	footbag	footbag	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|?|?
9	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
