sentence A = There is no tennis player lunging to the left.
sentence B = A tennis player is lunging to the left.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Tennis=,Human+,BodyMotion+,Hand+
CONCEPTS B: Tennis=,Human+,Entity+,BodyMotion+,Hand+

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	5	det	_	DT|?|?
4	tennis	tennis	NOUN	NN	_	5	nn	_	NN|00482298-n|Tennis=
5	player	player	NOUN	NN	_	2	nsubj	_	NN|10439851-n|Human+
6	lunging	lunge	VERB	VBG	_	5	partmod	_	VBG|02062212-v|BodyMotion+
7	to	to	ADP	IN	_	6	prep	_	TO|?|?
8	the	the	DET	DT	_	9	det	_	DT|?|?
9	left	left	NOUN	NN	_	7	pobj	_	NN|05565548-n|Hand+
10	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	3	det	_	DT|?|?
2	tennis	tennis	NOUN	NN	_	3	nn	_	NN|00482298-n|Tennis=
3	player	player	NOUN	NN	_	5	nsubj	_	NN|10439851-n|Human+
4	is	be	VERB	VBZ	_	5	aux	_	VBZ|02604760-v|Entity+
5	lunging	lunge	VERB	VBG	_	0	ROOT	_	VBG|02062212-v|BodyMotion+
6	to	to	ADP	IN	_	5	prep	_	TO|?|?
7	the	the	DET	DT	_	8	det	_	DT|?|?
8	left	left	NOUN	NN	_	6	pobj	_	NN|05565548-n|Hand+
9	.	.	.	.	_	5	punct	_	Fp|?|?
