sentence A = There is no dog rolling from side to side.
sentence B = A dog is rolling from side to side.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,Entity+,?,Canine+,Motion+,?,Object+,?,Object+,?
CONCEPTS B: ?,Canine+,Entity+,Motion+,?,Object+,?,Object+,?

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02084071-n|Canine+
5	rolling	roll	VERB	VBG	Number=Sing|fPOS=NOUN++NN	4	acl	_	01866192-v|Motion+
6	from	from	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
7	side	side	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	08510666-n|Object+
8	to	to	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
9	side	side	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	08510666-n|Object+
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	02084071-n|Canine+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	rolling	roll	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01866192-v|Motion+
5	from	from	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
6	side	side	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	08510666-n|Object+
7	to	to	ADP	IN	fPOS=PART++TO	8	mark	_	?|?
8	side	side	NOUN	NN	VerbForm=Inf|fPOS=VERB++VB	4	advcl	_	08510666-n|Object+
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
