sentence A = There is no badger shrewdly digging the earth.
sentence B = A badger is shrewdly digging the earth.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Carnivore+,SubjectiveAssessmentAttribute+,Making+,PlanetEarth=
CONCEPTS B: Carnivore+,Entity+,SubjectiveAssessmentAttribute+,Making+,PlanetEarth=

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	4	det	_	DT|?|?
4	badger	badger	NOUN	NN	_	2	nsubj	_	NN|02447366-n|Carnivore+
5	shrewdly	shrewdly	ADV	RB	_	6	advmod	_	RB|00272587-r|SubjectiveAssessmentAttribute+
6	digging	dig	VERB	VBG	_	4	partmod	_	VBG|01309701-v|Making+
7	the	the	DET	DT	_	8	det	_	DT|?|?
8	earth	earth	NOUN	NN	_	6	dobj	_	NN|09270894-n|PlanetEarth=
9	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	badger	badger	NOUN	NN	_	5	nsubj	_	NN|02447366-n|Carnivore+
3	is	be	VERB	VBZ	_	5	aux	_	VBZ|02604760-v|Entity+
4	shrewdly	shrewdly	ADV	RB	_	5	advmod	_	RB|00272587-r|SubjectiveAssessmentAttribute+
5	digging	dig	VERB	VBG	_	0	ROOT	_	VBG|01309701-v|Making+
6	the	the	DET	DT	_	7	det	_	DT|?|?
7	earth	earth	NOUN	NN	_	5	dobj	_	NN|09270894-n|PlanetEarth=
8	.	.	.	.	_	5	punct	_	Fp|?|?
