sentence A = There is no young child dressed for cold weather standing outside.
sentence B = A smiling boy in winter clothes is waving his mittened hands outside a building in the snow.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,HumanYouth=,HumanChild=,Dressing+,ColdTemperature=,WeatherProcess+,SocialRole+
CONCEPTS B: Smiling=,Human+,WinterSeason+,Clothing+,Entity+,Rotating+,Hand+,Building=,Snowing=

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	5	det	_	DT|?|?
4	young	young	ADJ	JJ	_	5	amod	_	JJ|01646941-a|HumanYouth=
5	child	child	NOUN	NN	_	2	nsubj	_	NN|09917593-n|HumanChild=
6	dressed	dress	VERB	VBN	_	5	partmod	_	VBN|00046534-v|Dressing+
7	for	for	ADP	IN	_	6	prep	_	IN|?|?
8	cold	cold	ADJ	JJ	_	9	amod	_	JJ|01251128-a|ColdTemperature=
9	weather	weather	NOUN	NN	_	7	pobj	_	NN|11524662-n|WeatherProcess+
10	standing	standing	VERB	VBG	_	9	partmod	_	NN|13948136-n|SocialRole+
11	outside	outside	ADV	RB	_	10	advmod	_	IN|?|?
12	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	3	det	_	DT|?|?
2	smiling	smile	VERB	VBG	_	3	amod	_	VBG|00028565-v|Smiling=
3	boy	boy	NOUN	NN	_	8	nsubj	_	NN|10285313-n|Human+
4	in	in	ADP	IN	_	3	prep	_	IN|?|?
5	winter	winter	NOUN	NN	_	6	nn	_	NN|15237782-n|WinterSeason+
6	clothes	clothes	NOUN	NNS	_	4	pobj	_	NNS|02728440-n|Clothing+
7	is	be	VERB	VBZ	_	8	aux	_	VBZ|02604760-v|Entity+
8	waving	wave	VERB	VBG	_	0	ROOT	_	VBG|01446901-v|Rotating+
9	his	his	PRON	PRP$	_	11	poss	_	PRP$|?|?
10	mittened	mittened	VERB	VBN	_	11	amod	_	VBN|?|?
11	hands	hand	NOUN	NNS	_	8	dobj	_	NNS|05564590-n|Hand+
12	outside	outside	ADP	IN	_	8	prep	_	IN|?|?
13	a	a	DET	DT	_	14	det	_	DT|?|?
14	building	building	NOUN	NN	_	12	pobj	_	NN|02913152-n|Building=
15	in	in	ADP	IN	_	14	prep	_	IN|?|?
16	the	the	DET	DT	_	17	det	_	DT|?|?
17	snow	snow	NOUN	NN	_	15	pobj	_	NN|15043763-n|Snowing=
18	.	.	.	.	_	8	punct	_	Fp|?|?
