sentence A = There is no white dog with beige spots running through a field.
sentence B = A white dog with beige spots is running through a field.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,White=,Canine+,ColorAttribute+,Region+,Attribute+,FieldOfStudy=
CONCEPTS B: White=,Canine+,ColorAttribute+,Region+,Entity+,Attribute+,FieldOfStudy=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	?|?
4	white	white	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	00393105-a|White=
5	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02084071-n|Canine+
6	with	with	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
7	beige	beige	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	8	amod	_	00370501-a|ColorAttribute+
8	spots	spot	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nmod	_	08664443-n|Region+
9	running	run	NOUN	NN	VerbForm=Ger|fPOS=VERB++VBG	8	acl	_	01525666-v|Attribute+
10	through	through	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	field	field	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	05996646-n|FieldOfStudy=
13	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	?|?
2	white	white	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	00393105-a|White=
3	dog	dog	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nsubj	_	02084071-n|Canine+
4	with	with	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
5	beige	beige	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	amod	_	00370501-a|ColorAttribute+
6	spots	spot	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	nmod	_	08664443-n|Region+
7	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	8	aux	_	02604760-v|Entity+
8	running	run	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01525666-v|Attribute+
9	through	through	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
10	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
11	field	field	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	05996646-n|FieldOfStudy=
12	.	.	PUNCT	.	fPOS=PUNCT++.	8	punct	_	?|?
