sentence A = There is no little girl playing a grand piano on stage.
sentence B = A little girl is playing a grand piano on stage.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,SubjectiveStrongNegativeAttribute+,Human+,DramaticActing+,SubjectiveWeakPositiveAttribute+,Piano=,Attribute+
CONCEPTS B: SubjectiveStrongNegativeAttribute+,Human+,Entity+,DramaticActing+,SubjectiveWeakPositiveAttribute+,Piano=,Attribute+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	DT|?|?
4	little	little	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
5	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|10129825-n|Human+
6	playing	play	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	acl	_	VBG|01719302-v|DramaticActing+
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
8	grand	grand	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	compound	_	JJ|02024928-a|SubjectiveWeakPositiveAttribute+
9	piano	piano	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	dobj	_	NN|03928116-n|Piano=
10	on	on	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
11	stage	stage	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|13939892-n|Attribute+
12	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	DT|?|?
2	little	little	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
3	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|10129825-n|Human+
4	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
5	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
7	grand	grand	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	JJ|02024928-a|SubjectiveWeakPositiveAttribute+
8	piano	piano	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|03928116-n|Piano=
9	on	on	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
10	stage	stage	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	NN|13939892-n|Attribute+
11	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
