sentence A = There is no girl with a black bag on a crowded train.
sentence B = A girl with a black bag is on a crowded train.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Human+,Black=,Container+,SocialInteraction+,Train=
CONCEPTS B: Human+,Black=,Container+,Entity+,SocialInteraction+,Train=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	10129825-n|Human+
5	with	with	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	?|?
7	black	black	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	8	amod	_	00392812-a|Black=
8	bag	bag	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	02773037-n|Container+
9	on	on	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
10	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	?|?
11	crowded	crowd	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	12	amod	_	02027612-v|SocialInteraction+
12	train	train	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	04468005-n|Train=
13	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nsubj	_	10129825-n|Human+
3	with	with	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
5	black	black	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	amod	_	00392812-a|Black=
6	bag	bag	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	02773037-n|Container+
7	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	11	cop	_	02604760-v|Entity+
8	on	on	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
10	crowded	crowd	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	11	amod	_	02027612-v|SocialInteraction+
11	train	train	NOUN	NN	Number=Sing|fPOS=NOUN++NN	0	ROOT	_	04468005-n|Train=
12	.	.	PUNCT	.	fPOS=PUNCT++.	11	punct	_	?|?
