sentence A = One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water.
sentence B = A baby is sneezing and frightening another baby.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Human+,OrangeColor+,NormativeAttribute+,Entity+,PhysicalAttribute+,Mineral+,Cliff=,Water=,equal+,Human+,Black=,NormativeAttribute+,Entity+,Ambulating=,Water=
CONCEPTS B: HumanBaby=,Entity+,Breathing+,IntentionalPsychologicalProcess+,HumanBaby=

CONLL A:

1	One	1	NUM	CD	_	2	num	_	Z|?|?
2	boy	boy	NOUN	NN	_	7	nsubj	_	NN|10285313-n|Human+
3	in	in	ADP	IN	_	2	prep	_	IN|?|?
4	orange	orange	ADJ	JJ	_	5	amod	_	NN|04965179-n|OrangeColor+
5	shorts	short	NOUN	NNS	_	3	pobj	_	NNS|04204755-n|NormativeAttribute+
6	is	be	VERB	VBZ	_	7	aux	_	VBZ|02604760-v|Entity+
7	standing	stand	VERB	VBG	_	0	ROOT	_	VBG|01546111-v|PhysicalAttribute+
8	on	on	ADP	IN	_	7	prep	_	IN|?|?
9	a	a	DET	DT	_	11	det	_	DT|?|?
10	rock	rock	NOUN	NN	_	11	nn	_	NN|14696793-n|Mineral+
11	cliff	cliff	NOUN	NN	_	8	pobj	_	NN|09246464-n|Cliff=
12	over	over	ADP	IN	_	7	prep	_	IN|?|?
13	the	the	DET	DT	_	14	det	_	DT|?|?
14	water	water	NOUN	NN	_	12	pobj	_	NN|14845743-n|Water=
15	and	and	CONJ	CC	_	7	cc	_	CC|?|?
16	the	the	DET	DT	_	18	det	_	DT|?|?
17	other	other	ADJ	JJ	_	18	amod	_	JJ|02069355-a|equal+
18	boy	boy	NOUN	NN	_	23	nsubj	_	NN|10285313-n|Human+
19	in	in	ADP	IN	_	18	prep	_	IN|?|?
20	black	black	ADJ	JJ	_	21	amod	_	JJ|00392812-a|Black=
21	shorts	short	NOUN	NNS	_	19	pobj	_	NNS|04204755-n|NormativeAttribute+
22	is	be	VERB	VBZ	_	23	aux	_	VBZ|02604760-v|Entity+
23	jumping	jump	VERB	VBG	_	7	conj	_	VBG|01963942-v|Ambulating=
24	of	of	ADP	IN	_	23	prep	_	IN|?|?
25	it	it	PRON	PRP	_	24	pobj	_	PRP|?|?
26	into	into	ADP	IN	_	23	prep	_	IN|?|?
27	the	the	DET	DT	_	28	det	_	DT|?|?
28	water	water	NOUN	NN	_	26	pobj	_	NN|14845743-n|Water=
29	.	.	.	.	_	7	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	baby	baby	NOUN	NN	_	4	nsubj	_	NN|09827683-n|HumanBaby=
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	sneezing	sneeze	VERB	VBG	_	0	ROOT	_	VBG|00004819-v|Breathing+
5	and	and	CONJ	CC	_	4	cc	_	CC|?|?
6	frightening	frighten	VERB	VBG	_	4	conj	_	VBG|01779165-v|IntentionalPsychologicalProcess+
7	another	another	DET	DT	_	8	det	_	DT|?|?
8	baby	baby	NOUN	NN	_	6	dobj	_	NN|09827683-n|HumanBaby=
9	.	.	.	.	_	4	punct	_	Fp|?|?
