sentence A = There is no man rapidly chopping some mushrooms with a knife.
sentence B = A man is rapidly chopping some mushrooms with a knife.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Hominid=,SubjectiveAssessmentAttribute+,Cutting+,Fungus+,CuttingDevice+
CONCEPTS B: Hominid=,Entity+,SubjectiveAssessmentAttribute+,Cutting+,Fungus+,CuttingDevice+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	man	man	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	02472293-n|Hominid=
5	rapidly	rapidly	ADV	RB	fPOS=ADV++RB	6	advmod	_	00085811-r|SubjectiveAssessmentAttribute+
6	chopping	chop	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	01258091-v|Cutting+
7	some	some	DET	DT	fPOS=DET++DT	8	det	_	?|?
8	mushrooms	mushroom	NOUN	NNS	Number=Sing|fPOS=NOUN++NN	6	dobj	_	13001041-n|Fungus+
9	with	with	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
10	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
11	knife	knife	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	03623556-n|CuttingDevice+
12	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	02472293-n|Hominid=
3	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	02604760-v|Entity+
4	rapidly	rapidly	ADV	RB	fPOS=ADV++RB	5	advmod	_	00085811-r|SubjectiveAssessmentAttribute+
5	chopping	chop	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01258091-v|Cutting+
6	some	some	DET	DT	fPOS=DET++DT	7	det	_	?|?
7	mushrooms	mushroom	NOUN	NNS	Number=Sing|fPOS=NOUN++NN	5	dobj	_	13001041-n|Fungus+
8	with	with	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	?|?
10	knife	knife	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	03623556-n|CuttingDevice+
11	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
